time,angle,r1,r2,r3,r4,r5,r6,circular,lateral,rawname
20:33.7,155.7000731,749,702,715,703,718,727,0,-2,CZP_0_down2
20:33.7,155.6848039,749,702,716,702,718,727,0,-2,CZP_0_down2
20:33.7,156.2468429,748,701,716,702,718,728,0,-2,CZP_0_down2
20:33.7,156.023216,748,703,717,702,718,728,0,-2,CZP_0_down2
20:33.7,156.2841184,748,703,718,701,719,730,0,-2,CZP_0_down2
20:33.8,156.191612,747,704,719,701,718,729,0,-2,CZP_0_down2
20:33.8,155.9865799,746,704,720,700,718,730,0,-2,CZP_0_down2
20:33.8,155.0644179,745,706,722,700,719,731,0,-2,CZP_0_down2
20:33.8,154.5666529,742,708,724,701,718,732,0,-2,CZP_0_down2
20:33.8,153.7110609,742,712,727,698,717,734,0,-2,CZP_0_down2
20:33.9,151.053844,739,713,730,698,717,737,0,-2,CZP_0_down2
20:33.9,148.1398585,736,715,732,697,716,740,0,-2,CZP_0_down2
20:33.9,144.5142359,734,715,733,697,714,741,0,-2,CZP_0_down2
20:33.9,140.025534,733,718,733,697,714,744,0,-2,CZP_0_down2
20:33.9,135.869039,732,721,733,697,713,745,0,-2,CZP_0_down2
20:34.0,131.6374706,733,723,732,698,713,747,0,-2,CZP_0_down2
20:34.0,126.8024622,734,727,732,698,714,750,0,-2,CZP_0_down2
20:34.0,122.1645536,735,728,730,699,713,752,0,-2,CZP_0_down2
20:34.0,117.122217,735,731,730,701,714,754,0,-2,CZP_0_down2
20:34.0,112.1849845,737,734,731,703,716,757,0,-2,CZP_0_down2
20:34.1,106.8838699,739,737,731,704,717,760,0,-2,CZP_0_down2
20:34.1,101.5828823,738,740,732,705,718,764,0,-2,CZP_0_down2
20:34.1,96.37076327,738,742,733,706,719,766,0,-2,CZP_0_down2
20:34.1,90.96677138,740,744,733,708,720,769,0,-2,CZP_0_down2
20:34.1,85.89115116,741,746,733,709,721,773,0,-2,CZP_0_down2
20:34.2,80.71071354,744,750,732,708,722,776,0,-2,CZP_0_down2
20:34.2,75.70442449,747,753,734,709,723,781,0,-2,CZP_0_down2
20:34.2,70.84897803,749,757,735,710,724,784,0,-2,CZP_0_down2
20:34.2,65.74601546,753,761,738,712,726,789,0,-2,CZP_0_down2
20:34.2,60.58055003,756,765,741,713,726,794,0,-2,CZP_0_down2
20:34.3,55.8578637,757,770,743,716,729,801,0,-2,CZP_0_down2
20:34.3,51.2299358,760,777,746,717,730,809,0,-2,CZP_0_down2
20:34.3,47.36957554,763,785,749,719,732,817,0,-2,CZP_0_down2
20:34.3,44.15561563,764,789,750,723,734,824,0,-2,CZP_0_down2
20:34.3,42.17668072,767,795,751,726,736,832,0,-2,CZP_0_down2
20:34.4,42.04485276,768,798,753,728,738,837,0,-2,CZP_0_down2
20:34.4,43.01129024,769,799,753,730,738,839,0,-2,CZP_0_down2
20:34.4,45.5608485,769,797,752,730,738,837,0,-2,CZP_0_down2
20:34.4,49.19461734,766,793,752,728,736,832,0,-2,CZP_0_down2
20:34.4,53.77486336,765,787,749,726,735,825,0,-2,CZP_0_down2
20:34.5,59.16493703,762,780,746,723,733,816,0,-2,CZP_0_down2
20:34.5,64.37286235,760,774,744,720,731,808,0,-2,CZP_0_down2
20:34.5,69.73231642,757,768,741,717,729,801,0,-2,CZP_0_down2
20:34.5,75.55681197,754,762,738,714,727,793,0,-2,CZP_0_down2
20:34.5,81.15883247,750,757,735,713,727,787,0,-2,CZP_0_down2
20:34.6,86.79023359,747,753,732,711,725,781,0,-2,CZP_0_down2
20:34.6,93.27949781,744,749,729,711,723,776,0,-2,CZP_0_down2
20:34.6,99.66289262,743,746,727,711,722,771,0,-2,CZP_0_down2
20:34.6,106.1319661,739,741,724,709,721,767,0,-2,CZP_0_down2
20:34.6,112.7550621,736,737,723,708,720,764,0,-2,CZP_0_down2
20:34.7,119.1992681,734,733,721,706,720,759,0,-2,CZP_0_down2
20:34.7,125.7443208,734,727,723,704,718,753,0,-2,CZP_0_down2
20:34.7,132.107822,735,722,724,703,717,750,0,-2,CZP_0_down2
20:34.7,138.111254,735,718,724,702,717,749,0,-2,CZP_0_down2
20:34.7,143.7652312,735,718,726,701,715,749,0,-2,CZP_0_down2
20:34.8,149.2952404,735,712,726,700,715,747,0,-2,CZP_0_down2
20:34.8,153.9748879,735,705,725,699,714,743,0,-2,CZP_0_down2
20:34.8,156.5807998,737,702,723,700,715,739,0,-2,CZP_0_down2
20:34.8,157.1889507,738,701,720,700,715,732,0,-2,CZP_0_down2
20:34.8,155.7610265,741,700,717,703,716,728,0,-2,CZP_0_down2
20:34.9,155.4253652,745,699,714,703,718,729,0,-2,CZP_0_down2
20:34.9,156.073548,746,699,714,703,716,729,0,-2,CZP_0_down2
20:34.9,156.4109211,749,700,713,703,717,728,0,-2,CZP_0_down2
20:34.9,156.4493134,749,700,714,703,717,728,0,-2,CZP_0_down2
20:34.9,156.7073289,749,698,714,702,716,727,0,-2,CZP_0_down2
20:35.0,156.1205241,751,700,716,703,717,726,0,-2,CZP_0_down2
20:35.0,155.9269419,749,699,716,702,716,728,0,-2,CZP_0_down2
20:35.0,155.9768986,749,699,716,702,717,728,0,-2,CZP_0_down2
20:35.0,156.04877,749,699,717,701,717,729,0,-2,CZP_0_down2
20:35.0,156.3682397,749,699,718,701,717,729,0,-2,CZP_0_down2
20:35.1,156.4972489,749,700,718,701,717,730,0,-2,CZP_0_down2
20:35.1,156.7885628,749,701,718,701,717,730,0,-2,CZP_0_down2
20:35.1,156.7257814,748,701,719,701,717,730,0,-2,CZP_0_down2
20:35.1,156.3642477,747,701,720,700,717,730,0,-2,CZP_0_down2
20:35.1,155.7871364,747,703,722,700,717,731,0,-2,CZP_0_down2
20:35.2,155.01151,746,704,725,700,717,732,0,-2,CZP_0_down2
20:35.2,154.7006284,743,704,725,698,717,733,0,-2,CZP_0_down2
20:35.2,153.272683,742,707,728,698,716,734,0,-2,CZP_0_down2
20:35.2,151.3404192,740,709,731,697,716,736,0,-2,CZP_0_down2
20:35.2,148.8555494,738,711,732,697,715,739,0,-2,CZP_0_down2
20:35.3,145.8131775,737,715,736,698,714,742,0,-2,CZP_0_down2
20:35.3,141.9852589,735,716,734,696,713,744,0,-2,CZP_0_down2
20:35.3,138.0469443,733,718,733,697,713,745,0,-2,CZP_0_down2
20:35.3,134.2822113,733,721,732,697,713,747,0,-2,CZP_0_down2
20:35.3,130.0772907,734,723,732,698,713,749,0,-2,CZP_0_down2
20:35.4,126.1921994,735,726,731,699,713,751,0,-2,CZP_0_down2
20:35.4,122.1217801,735,729,731,700,713,753,0,-2,CZP_0_down2
20:35.4,118.2163627,736,730,730,701,714,754,0,-2,CZP_0_down2
20:35.4,114.1708841,738,734,731,703,716,756,0,-2,CZP_0_down2
20:35.4,109.8863065,739,734,732,704,717,759,0,-2,CZP_0_down2
20:35.5,105.538015,739,736,732,705,717,762,0,-2,CZP_0_down2
20:35.5,100.5628728,739,739,732,706,718,766,0,-2,CZP_0_down2
20:35.5,95.76424405,739,741,732,707,719,768,0,-2,CZP_0_down2
20:35.5,90.94963312,741,743,732,708,720,771,0,-2,CZP_0_down2
20:35.5,85.87547077,743,746,732,708,721,775,0,-2,CZP_0_down2
20:35.6,81.57218376,744,748,733,709,723,778,0,-2,CZP_0_down2
20:35.6,76.70588172,749,753,734,710,724,782,0,-2,CZP_0_down2
20:35.6,71.91563528,751,755,735,711,724,786,0,-2,CZP_0_down2
20:35.6,67.05740054,754,759,738,713,725,791,0,-2,CZP_0_down2
20:35.6,62.33594021,756,762,739,714,726,796,0,-2,CZP_0_down2
20:35.7,57.81025188,758,767,742,715,729,802,0,-2,CZP_0_down2
20:35.7,53.39776585,760,771,744,718,731,810,0,-2,CZP_0_down2
20:35.7,49.44513449,763,779,746,720,732,816,0,-2,CZP_0_down2
20:35.7,46.59317063,765,783,748,723,735,824,0,-2,CZP_0_down2
20:35.7,44.06856512,767,788,750,727,736,830,0,-2,CZP_0_down2
20:35.8,43.39808429,767,789,750,728,737,835,0,-2,CZP_0_down2
20:35.8,43.79560955,769,790,750,729,737,837,0,-2,CZP_0_down2
20:35.8,45.32541234,768,788,749,728,737,835,0,-2,CZP_0_down2
20:35.8,48.04528206,766,784,747,727,736,830,0,-2,CZP_0_down2
20:35.8,51.74613341,765,781,746,726,735,825,0,-2,CZP_0_down2
20:35.9,55.97509667,764,778,746,725,733,818,0,-2,CZP_0_down2
20:35.9,60.92653846,760,772,744,722,731,811,0,-2,CZP_0_down2
20:35.9,65.77792216,758,767,741,719,730,805,0,-2,CZP_0_down2
20:35.9,70.49552279,756,761,738,717,728,798,0,-2,CZP_0_down2
20:35.9,76.08428731,753,757,736,714,726,792,0,-2,CZP_0_down2
20:36.0,81.78140663,751,754,734,713,726,787,0,-2,CZP_0_down2
20:36.0,87.62702554,747,751,731,711,724,782,0,-2,CZP_0_down2
20:36.0,93.7828103,744,747,729,711,723,777,0,-2,CZP_0_down2
20:36.0,100.0829597,743,743,726,711,722,771,0,-2,CZP_0_down2
20:36.0,106.5957193,740,739,724,711,722,767,0,-2,CZP_0_down2
20:36.1,113.1318667,736,734,723,708,721,762,0,-2,CZP_0_down2
20:36.1,120.1359993,735,729,722,706,719,757,0,-2,CZP_0_down2
20:36.1,127.2691431,735,724,723,704,718,753,0,-2,CZP_0_down2
20:36.1,134.4908326,737,720,724,704,718,751,0,-2,CZP_0_down2
20:36.1,141.4480887,736,717,725,702,716,751,0,-2,CZP_0_down2
20:36.2,149.4587805,735,716,725,700,713,747,0,-2,CZP_0_down2
20:36.2,154.9119169,735,712,726,701,715,745,0,-2,CZP_0_down2
20:36.2,157.4274968,736,705,722,700,714,740,0,-2,CZP_0_down2
20:36.2,157.3797945,739,700,719,700,714,733,0,-2,CZP_0_down2
20:36.2,155.7687938,743,699,715,701,715,731,0,-2,CZP_0_down2
20:36.3,155.477977,746,699,713,702,717,730,0,-2,CZP_0_down2
20:36.3,155.886274,746,698,714,702,716,730,0,-2,CZP_0_down2
20:36.3,156.4562977,748,698,712,703,717,728,0,-2,CZP_0_down2
20:36.3,156.4329528,749,698,712,703,717,728,0,-2,CZP_0_down2
20:36.3,156.1313626,749,698,714,703,716,728,0,-2,CZP_0_down2
20:36.4,155.8342494,748,697,714,702,716,728,0,-2,CZP_0_down2
20:36.4,155.6060376,749,698,715,701,717,729,0,-2,CZP_0_down2
20:36.4,155.4306213,749,698,715,701,716,729,0,-2,CZP_0_down2
20:36.4,155.8556711,750,700,716,701,717,730,0,-2,CZP_0_down2
20:36.4,156.3445163,748,700,717,700,717,731,0,-2,CZP_0_down2
20:36.5,156.5189857,747,701,718,700,718,732,0,-2,CZP_0_down2
20:36.5,156.0024009,745,702,721,698,717,733,0,-2,CZP_0_down2
20:36.5,154.5153429,743,703,724,698,717,733,0,-2,CZP_0_down2
20:36.5,151.8929563,740,704,727,698,716,734,0,-2,CZP_0_down2
20:36.5,149.0077186,738,708,730,697,716,737,0,-2,CZP_0_down2
20:36.6,144.9997871,735,712,733,697,714,742,0,-2,CZP_0_down2
20:36.6,140.6571507,733,715,733,697,713,743,0,-2,CZP_0_down2
20:36.6,135.5635856,732,718,732,697,713,745,0,-2,CZP_0_down2
20:36.6,130.89463,733,721,732,698,713,748,0,-2,CZP_0_down2
20:36.6,125.9069482,735,725,731,698,713,750,0,-2,CZP_0_down2
20:36.7,121.3784756,735,727,730,699,711,752,0,-2,CZP_0_down2
20:36.7,116.4858836,737,731,731,702,714,755,0,-2,CZP_0_down2
20:36.7,111.3122215,738,732,730,703,715,757,0,-2,CZP_0_down2
20:36.7,106.2771769,739,736,731,704,717,761,0,-2,CZP_0_down2
20:36.7,101.1294893,739,738,732,705,717,764,0,-2,CZP_0_down2
20:36.8,96.19794885,739,740,733,707,720,767,0,-2,CZP_0_down2
20:36.8,91.30721389,741,744,732,708,722,771,0,-2,CZP_0_down2
20:36.8,86.39397606,743,746,733,709,722,773,0,-2,CZP_0_down2
20:36.8,82.08767952,746,749,734,711,723,778,0,-2,CZP_0_down2
20:36.8,76.51393186,749,753,734,711,724,782,0,-2,CZP_0_down2
20:36.9,71.56726193,752,756,736,712,725,786,0,-2,CZP_0_down2
20:36.9,67.73850005,755,759,738,714,726,791,0,-2,CZP_0_down2
20:36.9,63.28280057,758,763,740,716,728,797,0,-2,CZP_0_down2
20:36.9,58.65344077,759,768,741,717,729,803,0,-2,CZP_0_down2
20:36.9,54.55020393,761,773,743,720,731,810,0,-2,CZP_0_down2
20:37.0,50.7109355,761,776,745,722,733,817,0,-2,CZP_0_down2
20:37.0,47.95894679,764,784,749,727,736,826,0,-2,CZP_0_down2
20:37.0,45.46852253,766,789,751,730,738,834,0,-2,CZP_0_down2
20:37.0,44.28987241,767,793,753,731,739,839,0,-2,CZP_0_down2
20:37.0,43.75676913,770,797,754,734,742,845,0,-2,CZP_0_down2
20:37.1,44.1684914,770,797,752,732,741,846,0,-2,CZP_0_down2
20:37.1,45.59214194,770,796,754,735,743,846,0,-2,CZP_0_down2
20:37.1,47.55285773,769,794,753,733,740,842,0,-2,CZP_0_down2
20:37.1,50.31964551,767,789,750,731,738,835,0,-2,CZP_0_down2
20:37.1,53.67298696,765,785,748,729,737,829,0,-2,CZP_0_down2
20:37.2,57.76998584,763,779,746,727,736,822,0,-2,CZP_0_down2
20:37.2,62.12802112,761,774,743,724,733,814,0,-2,CZP_0_down2
20:37.2,66.88194134,759,769,741,721,731,807,0,-2,CZP_0_down2
20:37.2,71.78279049,757,764,739,718,729,801,0,-2,CZP_0_down2
20:37.2,77.00166622,755,760,736,716,728,795,0,-2,CZP_0_down2
20:37.3,81.59835512,751,755,733,714,727,789,0,-2,CZP_0_down2
20:37.3,86.81525089,748,752,731,713,725,784,0,-2,CZP_0_down2
20:37.3,92.33082017,744,748,728,712,724,778,0,-2,CZP_0_down2
20:37.3,97.9078356,743,744,725,711,723,773,0,-2,CZP_0_down2
20:37.3,103.4829676,741,740,724,710,722,769,0,-2,CZP_0_down2
20:37.4,109.5141854,736,734,722,708,722,765,0,-2,CZP_0_down2
20:37.4,115.3275172,735,732,723,707,720,760,0,-2,CZP_0_down2
20:37.4,121.3482376,736,728,723,706,720,755,0,-2,CZP_0_down2
20:37.4,127.6431305,736,722,725,705,718,751,0,-2,CZP_0_down2
20:37.4,134.1630741,737,714,723,704,717,746,0,-2,CZP_0_down2
20:37.5,140.8681049,737,709,725,702,717,743,0,-2,CZP_0_down2
20:37.5,147.4162475,736,705,725,700,715,742,0,-2,CZP_0_down2
20:37.5,152.8576841,735,702,724,700,714,742,0,-2,CZP_0_down2
20:37.5,156.5668299,736,700,721,700,714,738,0,-2,CZP_0_down2
20:37.5,157.5478019,739,700,717,700,714,732,0,-2,CZP_0_down2
20:37.6,155.7682285,743,700,714,701,715,730,0,-2,CZP_0_down2
20:37.6,154.870201,746,699,713,702,716,729,0,-2,CZP_0_down2
20:37.6,155.894328,746,699,713,702,716,730,0,-2,CZP_0_down2
20:37.6,156.6153229,748,698,711,702,716,727,0,-2,CZP_0_down2
20:37.6,156.4777624,749,699,711,703,716,727,0,-2,CZP_0_down2
20:37.7,156.2267174,748,698,712,703,716,726,0,-2,CZP_0_down2
20:37.7,155.9547755,749,697,712,702,715,726,0,-2,CZP_0_down2
